Cycle,Cycle Type,Test Time,Current,Voltage,AH-IN,AH-OUT,WH-IN,WH-OUT,ACR,DCIR,T1_Start,T1_End,T1_Min,T1_Max,T1_Start.1,T1_End.1,T1_Min.1,T1_Max.1,Date
56,,  3d 02:14:39.84,-4.499961852445,2.4999618524450002,1.4070200000000002,1.40640951169,1.1005364575660002,5.061098559375,0,0,36.649108886719,27.7331199646,27.7331199646,36.892559051514,27.7331199646,36.373203277588,27.716489791870004,36.373203277588,43625.5353644444
57,,  3d 03:08:23.48,-4.499809262226,2.499809262226,1.40667,1.405921989217,1.099893431076,5.058740623154,0,0,36.616649627686,27.7331199646,27.7331199646,36.925018310546996,27.7331199646,36.45435333252,27.7331199646,36.45435333252,43625.5726865278
58,,  3d 04:02:06.37,-4.499961852445,2.499656672007,1.4060499999999998,1.405534527322,1.099049374379,5.057426762444,0,0,36.714031219482,27.716489791870004,27.716489791870004,37.006168365479,27.699859619141,36.373203277588,27.68323135376,36.373203277588,43625.6099997454
59,,  3d 04:55:45.49,-4.499809262226,2.499656672007,1.40604,1.405297015596,1.100053865454,5.056474278842,0,0,36.649108886719,27.633342742920004,27.633342742920004,36.925018310546996,27.649971008301,36.486808776855,27.61671257019,36.486808776855,43625.6472695602
60,,  3d 05:49:26.93,-4.500114442664,2.499809262226,1.4058199999999998,1.4053845632089998,1.09942583823,5.056564125547,0,0,36.73025894165,27.666601181029996,27.666601181029996,36.973705291748,27.649971008301,36.389430999755994,27.649971008301,36.389430999755994,43625.6845659606
61,,  3d 06:43:10.73,-4.499961852445,2.499809262226,1.4057,1.404909513893,1.09804935345,5.054642228981,0,0,36.681568145752,27.666601181029996,27.649971008301,36.95747756958,27.649971008301,36.308284759521,27.649971008301,36.308284759521,43625.7218896644
62,,  3d 07:36:47.04,-4.499885557336,2.499809262226,1.405,1.404609542564,1.095801140751,5.053462010923,0,0,36.600421905518,27.666601181029996,27.649971008301,36.941246032715,27.68323135376,36.405662536621,27.649971008301,36.405662536621,43625.7591269213
63,,  3d 08:30:22.43,-4.499961852445,2.499656672007,1.40498,1.404222042822,1.094627986839,5.051938861711999,0,0,36.714031219482,27.81626701355,27.81626701355,36.95747756958,27.81626701355,36.389430999755994,27.76637840271,36.389430999755994,43625.7963535069
64,,  3d 09:23:59.82,-4.500114442664,2.499656672007,1.4046500000000002,1.404059507232,1.096429216432,5.051336353159,0,0,36.681568145752,27.76637840271,27.76637840271,36.941246032715,27.783008575439,36.45435333252,27.76637840271,36.45435333252,43625.8336030671
65,,  3d 10:17:38.82,-4.499961852445,2.499656672007,1.40433,1.403784502251,1.096618756471,5.050213450832,0,0,36.73025894165,27.716489791870004,27.716489791870004,36.95747756958,27.699859619141,36.503040313721,27.699859619141,36.503040313721,43625.87087125
66,,  3d 11:11:17.22,-4.500190737774,2.4999618524450002,1.40393,1.403272006076,1.096293588574,5.048012320703,0,0,36.795177459717,27.7331199646,27.7331199646,37.152236938477,27.7331199646,36.45435333252,27.716489791870004,36.45435333252,43625.9081328009
67,,  3d 12:04:51.43,-4.500038147555,2.4999618524450002,1.4035799999999998,1.403071988343,1.095762870208,5.047147495706,0,0,36.762718200684,27.68323135376,27.68323135376,37.05485534668,27.68323135376,36.503040313721,27.649971008301,36.503040313721,43625.945345463
68,,  3d 12:58:27.97,-4.499809262226,2.499656672007,1.40357,1.40280951484,1.0968073771490001,5.045985982211,0,0,36.778949737549,27.699859619141,27.699859619141,37.087314605713,27.68323135376,36.373203277588,27.68323135376,36.373203277588,43625.982585428195
69,,  3d 13:52:05.76,-4.499809262226,2.4999618524450002,1.4031600000000002,1.4029094961219999,1.096308159939,5.046382865869999,0,0,36.665340423584,27.68323135376,27.68323135376,36.941246032715,27.68323135376,36.551731109619006,27.649971008301,36.551731109619006,43626.0198396875
70,,  3d 14:45:38.35,-4.499885557336,2.4999618524450002,1.4030799999999999,1.402322015539,1.091249987084,5.044023049199,0,0,36.778949737549,27.699859619141,27.699859619141,37.152236938477,27.666601181029996,36.470581054688,27.666601181029996,36.470581054688,43626.05703375
71,,  3d 15:39:09.02,-4.499961852445,2.499656672007,1.4026,1.40200953351,1.091958424576,5.04270213217,0,0,36.697799682617,27.783008575439,27.783008575439,37.05485534668,27.783008575439,36.486808776855,27.749748229979996,36.486808776855,43626.0942059954
72,,  3d 16:32:40.78,-4.499961852445,2.499656672007,1.4023700000000001,1.4016219922780002,1.095127976413,5.041165507290001,0,0,36.762718200684,27.783008575439,27.783008575439,37.071086883545,27.76637840271,36.535499572754,27.749748229979996,36.535499572754,43626.1313898958
73,,  3d 17:26:14.28,-4.500038147555,2.4999618524450002,1.4019700000000002,1.4014469912040002,1.0944599172910001,5.0401621895240005,0,0,36.762718200684,27.68323135376,27.68323135376,37.087314605713,27.666601181029996,36.535499572754,27.666601181029996,36.535499572754,43626.168594780094
74,,  3d 18:19:44.90,-4.500190737774,2.499656672007,1.40163,1.401009517587,1.092487406436,5.038410418312,0,0,36.811408996581996,27.68323135376,27.666601181029996,37.038627624512,27.666601181029996,36.470581054688,27.649971008301,36.470581054688,43626.2057660185
75,,  3d 19:13:14.05,-4.499885557336,2.4999618524450002,1.40135,1.400834463544,1.092149215002,5.037611210868,0,0,36.778949737549,27.716489791870004,27.716489791870004,37.038627624512,27.68323135376,36.519271850586,27.68323135376,36.519271850586,43626.2429202546
